1 4 LEFT;0.8342263187081692 25;0.8399999921705759 48;-0.13960687219425078 78;0.6766004130702433 100;-0.4359913371770137 135;0.8399999274824023 161;-0.7660946401618673 173;0.8399999928463227 198;0.8399985281293262 223;0.8362039796768971 245;0.8399999994219655 271;0.6707935089664856 303;0.7751867115022273 327;0.8399999427276764 356;0.8399999351096719 376;0.8399993314421429 395;0.8399999917067429 421;0.8388426395512193 456;0.8398343999912854 485;0.8399998211879429 523;0.8399633792897288 558;0.8399998091501092 583;0.839983079999751 612
1 3 DOWN;0.8799724729541661 49;0.8799999999999999 93;-0.22971396086160184 144;-0.22971396086160184 144;-0.7076061375320001 225;0.8799999999999999 317;0.8799999999999999 453;0.8799999999999999 588;0.8799999990820956 725;0.8799999968448878 854;-0.7076000000000002 990;0.8799999992799887 1121;0.8793519279868574 1256;0.8799999999999999 1385;0.8079999415987046 1520;0.8799999999999999 1649;0.8799999999999999 1783;0.8677527999999999 1923;0.8799999279999998 2056;0.8799999999999999 2118;0.8799999999996859 2210;0.8799999999999999 2300;0.8799999999999999 2386
3 2 DOWN;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.3999999999999999 10;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50;-0.8664940853619987 50
1 1 DOWN;0.7999999888550035 43;0.7998658218799998 84;0.7999999377206224 124;0.7416799999999998 209;-0.39736819316775623 246;-0.7599971958987727 258;-0.7599971958987727 258;-0.7599971958987727 258;-0.7599971958987727 258;-0.7599971958987727 258;-0.7599971958987727 258;-0.7599971958987727 258;-0.7599971958987727 258;-0.7599971958987727 258;-0.7599971958987727 258;-0.7599971958987727 258;-0.7599971958987727 258;-0.7599971958987727 258;-0.7599971958987727 258;0.7999999998316631 291;0.7999999999903367 312;0.7999983290313714 329;0.79939924104532 353
3 3 DOWN;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23
3 1 DOWN;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.36399999999999993 9;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24
3 4 NULL;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0
3 1 RIGHT;0.8799999854198917 88;0.8799351280719999 183;0.8799999999999986 273;0.8792799999999998 393;0.03252174713596648 409;-0.8696052471704084 430;-0.8696052471704084 430;-0.8696052471704084 430;-0.8696052471704084 430;-0.8696052471704084 430;-0.8696052471704084 430;-0.8696052471704084 430;-0.8696052471704084 430;-0.8696052471704084 430;-0.8696052471704084 430;-0.8696052471704084 430;-0.8696052471704084 430;-0.8696052471704084 430;-0.8696052471704084 430;0.8799999999999999 472;0.8799999999999999 539;0.8799990276759999 596;0.87999999850518 663
2 3 RIGHT;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1
2 1 RIGHT;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.36399999999999993 9;-0.8320000000000002 22;-0.8320000000000002 22;-0.8320000000000002 22;-0.8320000000000002 22;-0.8320000000000002 22;-0.8320000000000002 22;-0.8320000000000002 22;-0.8320000000000002 22;-0.8320000000000002 22;-0.8320000000000002 22;-0.8320000000000002 22;-0.8320000000000002 22;-0.8320000000000002 22;-0.8320000000000002 22;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24
2 3 LEFT;-0.07600000000000001 1;-0.07600000000000001 1;-0.2668000706025779 34;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.878800070602578 51;-0.9148000706025781 52;-0.9148000706025781 52;-0.9148000706025781 52;-0.9148000706025781 52
2 3 UP;-0.11164000000000002 1;-0.11164000000000002 1;0.6764243436048005 24;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-0.868006851475067 39;-1.0185715220922642 65;-1.0185715220922642 65;-1.0185715220922642 65;-1.0185715220922642 65
2 1 LEFT;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.14800000000000002 3;-0.36399999999999993 9;-0.8367812900137322 22;-0.8367812900137322 22;-0.8367812900137322 22;-0.8367812900137322 22;-0.8367812900137322 22;-0.8367812900137322 22;-0.8367812900137322 22;-0.8367812900137322 22;-0.8367812900137322 22;-0.8367812900137322 22;-0.8367812900137322 22;-0.8367812900137322 22;-0.8367812900137322 22;-0.8367812900137322 22;-0.9087812900137323 24;-0.9087812900137323 24;-0.9087812900137323 24;-0.9087812900137323 24
2 1 UP;-0.1547716 3;-0.1547716 3;-0.1547716 3;-0.1547716 3;-0.40183023211992275 73;0.7599552381843149 114;0.7599826558733287 162;0.7599643585939777 199;0.7587874812204929 241;0.7564188804255485 287;0.7599999647009975 333;0.7540974465467618 370;0.759475024191391 423;0.7592222857661544 464;0.7599999997725442 511;0.7599999990306371 555;0.7599261038317 591;0.7599999922277686 630;0.7390037596329262 674;-0.8872239823566362 698;-0.8872239823566362 698;-0.8872239823566362 698;-0.8872239823566362 698
2 3 DOWN;0.91999215919352 70;0.9199999999999999 138;-0.84402831266781 199;0.9199982359716873 205;0.743599546364 303;0.9199999999999999 412;0.9199999999999999 572;0.9199999999999999 725;0.9199999999997932 886;0.919999999940384 1039;-0.8440000000000001 1194;0.9199999999999999 1345;0.9196399999999999 1502;0.9199999999999999 1660;0.9199999999999999 1814;0.9199999999999999 1964;0.9199999999999999 2123;-0.8447128000000002 2285;0.9199999999999999 2438;0.9199999999999999 2517;0.9199999999999999 2632;0.9199999999999999 2751;0.9199999999999999 2861
2 1 DOWN;0.83999993697946 67;0.8397055908839999 137;0.839999999965342 201;0.8270399999999999 305;-0.3978172696167057 344;-0.8421099484211058 359;-0.8421099484211058 359;-0.8421099484211058 359;-0.8421099484211058 359;-0.8421099484211058 359;-0.8421099484211058 359;-0.8421099484211058 359;-0.8421099484211058 359;-0.8421099484211058 359;-0.8421099484211058 359;-0.8421099484211058 359;-0.8421099484211058 359;-0.8421099484211058 359;-0.8421099484211058 359;0.8399999999999999 406;0.8399999999999715 455;0.8399854188935976 492;0.8399601035695667 535
2 4 NULL;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0
