1 2 RIGHT;-0.7948233010552239 19;0.20077205341133428 26;-0.07904954100118833 28;0.3105385202612715 35;0.3611189921825065 36;0.4327129385160937 37;0.4742770158939052 40;0.5023832169961291 54;0.43324311251146863 58;0.4211643386585935 61;0.42834925657414874 68;0.4912257843561278 71;0.5392166382523369 75;0.543787714774948 79;0.546461324390244 82;0.2451891285920997 89;0.5188666145642089 94;0.5452453507767016 99;0.524633811123555 103;0.5261216692274109 106;0.5260447820361503 114
3 3 UP;0.5216391680103918 11;-0.6303428201527175 21;-0.23563502636014522 28;0.7283759503114109 35;0.3725453142912196 45;0.8661840361153739 63;0.6029360227303973 72;0.5992039020394412 82;0.8150687067657516 93;0.7584956453284443 105;0.8084143870465724 115;0.7863953233720317 127;0.668803193332796 139;0.8523845883456852 154;0.8162015584325956 172;0.8146661266702375 183;0.36901150054085474 196;0.7723422544925876 206;0.6184527089553522 217;0.4808404298590953 232;0.2853290931393064 245
1 1 UP;0.005486333974982022 11;0.5610345308009147 20;0.5511180963740355 30;0.5609767129328803 34;0.594306195652433 47;0.594306195652433 47;0.6494882316734104 53;0.6592151720441323 55;0.5522259056157975 61;0.5881209677479874 68;0.6490773959561107 74;0.6669156389315228 82;0.6164835487620605 93;0.6643409542258589 96;0.6771915422676313 101;0.6765506345825796 110;0.6784663324897431 113;0.6373963936321507 124;0.6504480708672999 133;0.643746198589826 142;0.609528431741238 148
3 3 LEFT;0.7182761665319104 14;0.7688060938064916 39;0.8689005875329853 55;0.7850696994729013 66;0.7904364835043804 74;0.827081751158731 82;0.7632501680493742 94;0.8002112609591835 112;0.8393740599125765 127;0.8197008924138831 140;0.8214481681414276 150;0.8498467185442139 161;0.8133342343773133 174;0.8201068047025345 183;0.8482389769224067 194;0.8220501753648974 205;0.7510557967351197 217;0.7998086744810733 223;0.8344073304916727 241;0.8150879474786381 257;0.8112095740500629 268
1 4 RIGHT;-0.20131212532757947 11;-0.5472201247548152 16;-0.0130818179219645 23;-0.08103502562814921 31;0.25588541734871145 33;0.0016020320284387823 41;0.32281541561634136 46;0.45066994057439386 51;0.48255845281606874 54;-0.40216661856050284 72;-0.40216661856050284 72;-0.4074732401617079 73;-0.4074732401617079 73;-0.49802698273315776 75;0.1429831954349411 78;0.3065815826765844 79;0.2492869760402163 82;0.2492869760402163 82;0.34579942665164287 83;0.31384420697451715 87;0.31384420697451715 87
3 2 UP;0.15668903854080338 26;0.7604279107257925 56;0.8569477797932592 79;0.6746627306435079 103;0.8266193542419089 120;0.8510058976830456 136;0.8117753080633806 155;0.7934446292682491 171;0.8343548531085176 185;0.7938954776344957 196;0.8094776341100544 203;0.8189907165057522 216;0.8409483217693035 223;0.8107419871349807 233;0.8374040396851492 247;0.8444391589149766 256;0.8185885929182073 270;0.7890474932513443 286;0.8200178678622645 305;0.8064175720446889 320;0.803765450531239 331
3 1 LEFT;0.008708538853618941 36;0.6764186306476 43;0.5794618123759583 55;0.6739454386903134 69;0.7725615865280204 85;0.7409048639792031 88;0.7723494848105626 101;0.7504251918824796 110;0.7542947557504099 117;0.7835824876335227 123;0.7729537817257135 135;0.7816093683414911 147;0.7560847287607153 166;0.7851419950559183 177;0.7806844551663092 182;0.7686030250814668 193;0.7494213813450947 206;0.750025304100739 213;0.7619909484868612 226;0.7713919963445217 231;0.7679806577703692 237
3 1 UP;-0.02674484949340089 17;0.609056441630326 22;0.6409940818808895 47;0.6815655955533049 73;0.6823987057881715 90;0.7191409036252172 99;0.7013128328972694 112;0.7108770602687055 120;0.6532643385742222 131;0.6711475085876294 140;0.7095627155969895 150;0.6996758220844088 158;0.6990021304270844 172;0.7255863692036695 184;0.7405995358586783 193;0.7159089014551056 205;0.69359947306387 213;0.6930522921995613 219;0.686909071121177 229;0.7042900676072774 236;0.685947053148953 248
1 4 DOWN;-1.04 8;-1.04 10;-1.04 12;-1.04 14;-1.04 14;-1.04 18;-1.04 19;-1.04 24;-1.04 25;-1.04 29;-1.04 30;-1.04 32;-1.04 34;-1.04 37;-1.04 40;-1.04 42;-1.04 46;-1.04 47;-1.04 49;-1.04 49;-1.04 49
1 2 DOWN;-0.5112801428082292 22;0.3438243219851831 29;0.5112926016196795 36;0.555365411827101 43;0.44071903398243034 48;0.15880636803134457 54;0.4393274115792607 57;0.526789002042357 58;0.5543158972688695 63;0.562718094206091 64;0.5119631207870101 71;0.5951052980219995 75;0.5969956941757623 76;0.5938645515480373 83;0.615688954394344 89;0.6222365979013571 95;0.6048627832150112 98;0.5737738873833398 108;0.5704531857350047 117;0.5830715430522755 118;0.5785862154281247 124
1 3 DOWN;-0.050656478115161246 23;0.3883698082858485 32;-0.2839872188962792 53;0.27452096741165793 61;0.21195035852209326 63;0.5152380108951944 73;0.2695101554671612 79;0.37648118464457103 102;0.020220703221789704 105;0.8453591198459921 118;0.4559887792676056 128;0.23288765726882255 145;0.7561864020019364 162;0.022696596246905537 173;-0.01798275520454845 176;-0.12508901820808127 178;0.5921889639962513 187;0.44734091518821884 190;0.4591794279336018 191;0.11814924268180316 197;0.1266500028830401 201
