3 3 LEFT;0.6150267302136972 10;0.37381634582948897 21;0.8090074778509891 26;0.8047772219188886 42;0.8351827788742957 52;0.7484451002527407 63;0.8189586585826746 72;0.8386183222061341 89;0.8125312648513533 105;0.8135025092853846 123;0.8239434402327214 137;0.7858319963141314 155;0.7822894265070075 168;0.7625192845280012 186;0.8312843669564979 205;0.791705275623894 220;0.8203826521065232 233;0.7683591502311553 248;0.8092047726260134 259;0.8280457294626242 273;0.822176468333575 290
1 1 LEFT;0.23714881314798758 17;0.252935300680767 35;0.5541818148097375 39;0.629238942813697 51;0.5710513869424118 59;0.5662553009679184 65;0.5983995343425283 67;0.6282985317443393 74;0.6282985317443393 74;0.6404360440177908 80;0.6520023959306702 84;0.6581525741514604 85;0.6600203832586768 88;0.6510315502309297 91;0.6231249085301206 95;0.6402126501313711 99;0.6437710088348529 105;0.6437442355933283 117;0.6285395351398013 123;0.6338630879421879 131;0.6341350660200745 136
3 3 UP;-0.2187767258274737 5;0.15927334803193105 12;0.49519445368467674 20;-0.47033406388589083 35;0.8319171908453873 50;0.3167145303290191 64;0.7927959231446969 72;0.7656081384661392 93;0.6234490811091127 108;0.7220124995233618 125;0.7205797723285716 141;0.7091695098242958 160;0.6058653539460586 173;0.6680621939229352 195;0.7515806176882072 201;0.3445372601397315 207;0.4859107401262024 221;0.7002840596537224 237;0.686836226195372 254;0.7962199397269161 269;0.8168896806482473 279
1 4 RIGHT;0.13847716269011429 4;-0.042016156026744605 9;-0.7661578793867163 19;-1.002304413196572 20;0.220530180946384 22;0.220530180946384 22;0.220530180946384 22;0.1783429445615664 24;0.1783429445615664 24;0.1783429445615664 24;0.473263752535257 25;0.49586179459429897 29;0.42026488444028354 38;0.43662053167628645 39;0.1957673217259927 47;-0.5196162040854413 48;0.48463238880268145 53;0.48774489770358265 55;0.46117258941770656 56;0.42662557337940465 58;0.42662557337940465 58
3 2 UP;0.48444151661281404 21;0.656090041145536 66;0.8217982520232235 86;0.7573645086552986 105;0.7464605532234369 122;0.7940954935498068 142;0.8217987179529187 154;0.8391087521503183 164;0.799634945309867 178;0.8121913829101718 192;0.8268710522183761 204;0.8121798639130939 214;0.8027764169231385 231;0.7895861705612586 246;0.8220768520828948 258;0.8230774437441404 266;0.8105718007199989 276;0.7853612245452128 287;0.8093902329625817 297;0.7914269208184349 305;0.8414852164553077 319
3 1 LEFT;0.30695752263055587 35;0.4589791879709185 52;0.7522796333324958 59;0.7456462953824528 71;0.6893048543690132 91;0.7265249654395842 103;0.7581829059869095 113;0.784816729024251 122;0.768002148154756 126;0.7417131695956646 134;0.7616976612495848 144;0.7654980006288199 150;0.7336003301444264 159;0.734071476314732 170;0.7393945534809474 180;0.7797445477466878 188;0.7734945353663523 202;0.7490031226357179 217;0.7479983611818445 225;0.7426504199860398 243;0.7655121667083533 249
3 1 UP;0.14226388949870883 14;0.5400486797449828 30;0.6949596608970643 46;0.7590527176662549 55;0.6076214008656824 67;0.6468530682769719 77;0.7015486916409754 84;0.7271386441083606 88;0.7274078681703469 90;0.701232449552427 99;0.7043572322095559 109;0.6926328595628877 119;0.675261556856602 129;0.6343109068936601 144;0.6447652740480542 154;0.6958833981715076 159;0.7123453554305577 164;0.7113500774214739 171;0.6635606759994892 178;0.6944720450743229 193;0.7029189481121039 203
1 4 DOWN;-1.04 5;-1.04 6;-1.0370841489030262 11;-1.039924708070266 13;-1.0399974633226192 15;0.051185789252133684 16;-0.8102766759469192 17;-1.0282958146586343 19;-1.0371850693482791 20;-1.0371850693482791 20;-1.0371850693482791 20;-1.0371850693482791 20;-1.0399961244574238 25;-1.0399998930519172 28;-1.0399999659710646 29;-1.0399999963039734 31;-1.0399999963039734 31;-1.039999998740914 32;-0.06133976625954729 34;-1.021345281416346 38;-1.0371504542423238 40
1 2 DOWN;-0.04583343675855968 22;0.26444824175909554 34;0.44967393176098824 38;0.5825366431115376 41;0.5168227467591275 49;0.5582986391419493 55;0.5425317098173251 57;0.5531947395605206 61;0.5839029259045124 63;0.5986029400091145 64;0.6022184139372737 68;0.6022120637120206 76;0.5691002220217227 79;0.5721497557982721 81;0.5640772830402109 83;0.578957685001884 88;0.5867074855211172 91;0.5815598387078637 93;0.5831433972005051 98;0.5420282615302207 104;0.5669951480036011 108
1 3 DOWN;-0.4127963182287103 13;-0.744547566126458 18;-0.05009457659893346 31;0.8116448565061698 43;-0.13250150577215336 60;0.24698919149953646 64;-0.01395104352708687 66;0.3478782734754727 79;0.293120923182047 104;0.4975928977011155 109;0.7013601173287504 143;0.38988456944734806 164;0.506945314828366 165;0.17649549336081588 179;0.3247971682474424 184;0.8464961297221588 205;0.5661886912063785 209;-0.0040747510336633375 214;0.42065640615169364 217;0.2623732564306728 221;0.3056198433034146 226
3 2 DOWN;0.3582258147083255 32;0.656382916615629 67;0.8383273862618769 87;0.7626420460107953 109;0.7132272381322322 132;0.788291483223194 148;0.790113087583428 159;0.8313722812779176 172;0.805467042329551 182;0.8036794522033472 190;0.8296403090336125 203;0.7865771446229533 212;0.819572436411064 227;0.7716960536642531 244;0.8237492315182573 255;0.8260896823160867 263;0.7969313594515861 276;0.8093390196004495 289;0.7716700323998055 302;0.8328494285530146 315;0.8335464502426011 329
1 1 DOWN;0.5112870932347849 51;0.5338405321630689 116;0.708318381783409 175;0.6702889961007426 240;0.584323123184685 299;0.6363781909296149 377;0.7041731764617848 446;0.694947236332334 512;0.718983899777931 568;0.6923997760967131 636;0.6999905681987978 687;0.7102735793473144 742;0.701200322905232 800;0.6729320901762098 869;0.6618299770258327 932;0.6917181721043009 996;0.7116634841414538 1057;0.690333928840689 1133;0.6855035367791924 1196;0.6769922119764459 1255;0.6999638855329136 1332
3 3 DOWN;0.6822490583601054 4;0.9130828340330382 17;0.9144449686657825 28;0.918870330673958 44;0.8875848555372304 59;0.9194576721098292 72;0.9037812341970874 80;0.8937975352803378 93;0.8333412472357085 107;0.9133562441219557 118;0.8788732508665597 138;0.8198691676627046 157;0.9116925057641492 181;0.7621763618394647 190;0.8719027185068249 196;0.8767371105492153 209;0.8180326509186088 227;0.8050138319065101 237;0.880728905841078 255;0.9140910230085778 272;0.9056524533520486 283
3 1 DOWN;0.3125750265916775 34;0.5873354524258875 65;0.7616838468011078 80;0.6931235526796937 96;0.6831694503763986 106;0.7122737998771161 119;0.7619841246686727 130;0.7747081029728348 133;0.7625996051302661 138;0.7536291708919308 147;0.7513621162837497 155;0.7747903209244714 161;0.7467515886101848 167;0.7194461396264636 172;0.7465829857234144 185;0.7780830364164494 190;0.7428079839040794 203;0.729239992199337 216;0.7308411697681323 220;0.742489961452055 227;0.7542853407972427 236
3 4 NULL;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0
3 1 RIGHT;0.8219795776843182 77;0.6777979204860191 177;0.8320617465941714 289;0.7964004323465317 383;0.7710306818893244 478;0.7845832410825773 580;0.809244359441129 703;0.835587410787445 797;0.8296348072245083 885;0.80211413839003 981;0.8211365296701343 1070;0.7981564393139904 1167;0.8186723170148503 1267;0.7791569210531969 1368;0.8102835804756592 1475;0.8398715499973217 1569;0.81669007825899 1675;0.7960237662371711 1772;0.7891040672788053 1882;0.8221775770319187 1981;0.8199370837197307 2073
2 3 RIGHT;-1.04 5;-1.04 10;-1.04 13;-1.04 16;-1.04 20;-1.04 21;-1.04 22;-1.04 24;-0.6817523794049938 30;-0.9993198672584425 32;-1.0393309308489913 36;-1.0399853809484654 40;-1.039997626213414 42;-1.0399999971821512 50;-1.039999999871848 54;-1.0399999999859846 57;-1.039999999998336 60;-1.0399999999999436 65;-1.039999999999992 68;-1.039999999999999 71;-1.0399999999999998 74
2 3 LEFT;-0.9428532310516471 27;-0.20056179417482778 43;0.17651569270242062 54;0.31696407029568185 61;0.4735334981579733 65;0.33518627628001973 70;0.39033976747365895 71;0.7762711632511129 78;0.485602111812369 85;0.6218209761008394 95;0.6138696650311435 99;0.6925089675787734 104;0.8104402760797835 107;0.461844543994418 116;0.45057686533094743 122;0.8376668888031691 130;0.22107303207141438 133;0.4015927180213579 134;0.6235488589159671 136;0.7644945864226785 142;0.8029885212553978 144
2 1 RIGHT;0.07176737987569581 20;0.47716168636759115 32;0.7385985987833562 44;0.624070319468382 52;0.5573016495188969 68;0.6508375113066298 77;0.7120709428105318 88;0.7103496275140487 94;0.7195129865639976 99;0.6654346366367396 112;0.6994101391600758 120;0.7113276289152648 127;0.7167247850351673 135;0.6836695471059578 142;0.6556317061832497 153;0.7106048508309285 160;0.7311747061118675 171;0.6950749473933537 180;0.6969673959413176 181;0.688456270939454 187;0.7088686337365678 197
2 1 LEFT;0.4142406618043895 25;0.42542370747129277 55;0.7053576441077323 71;0.7022234324538048 84;0.6100956021701882 98;0.6492794916375076 107;0.6985437889563793 117;0.730742828754677 126;0.7325751350065534 129;0.7115145002593435 137;0.699170501066203 140;0.7135092583194427 148;0.7181782043090079 153;0.669501575280559 167;0.6699571654362414 172;0.6741933967976455 180;0.7051594385287502 186;0.6964065153827399 192;0.698071314788716 195;0.6871818535219724 204;0.6921847658356488 217
2 3 UP;-0.8959629375331815 11;0.17035195292553018 16;0.5228374020055631 25;0.3049210097455827 32;0.6692002782330863 45;0.5101789127871562 67;0.28982436077218154 77;0.5548935801747025 82;0.4094607031449429 95;0.4208579202873442 99;0.5612051580086791 106;0.6013674977548823 111;0.5799934680242003 113;0.5636315367142664 124;0.4596750829462251 127;0.5284663084446463 130;0.3911505395224253 133;0.4704454119904342 135;0.504453013049441 137;0.51415612905973 139;0.5122310795318984 142
2 1 UP;0.10115044765137572 20;0.45891884949569417 36;0.5552544002163377 45;0.5841677964089153 53;0.545112546413071 59;0.5259148158942337 71;0.5819357456103665 75;0.6094468109848014 85;0.6656293608687636 91;0.615559571994362 101;0.6186076643627425 106;0.6424250788664815 112;0.6740951370191473 117;0.6358791439838942 129;0.6177065718127936 133;0.6192816983165762 141;0.6467365586639852 144;0.6312532018037146 154;0.6338856203245645 164;0.6370638474454793 172;0.6128857612195173 182
2 3 DOWN;0.6291315009509951 14;0.5304782777407554 23;0.42269824569357684 45;0.9055866017569619 74;0.882207883132566 115;0.43896287482420465 126;0.9170030099015167 143;0.8050075174210714 187;0.869582405680267 237;0.858228280665075 274;0.8648322853845242 333;0.8658274133734776 376;0.8918833212198662 401;0.8546463939052256 436;0.8677729753201572 457;0.9103059008607257 505;0.826040502145669 535;0.8775057709118889 564;0.8430714428089374 598;0.8860621597323206 636;0.9003274438307932 657
2 1 DOWN;0.669797030746084 57;0.6242733145806133 131;0.7756049826300718 217;0.7129172537286169 297;0.6897872261638904 373;0.7187848782034985 466;0.7652087110254792 562;0.777490622309804 635;0.7719815708931993 702;0.7447086349561424 781;0.756149276338729 852;0.7562686561849967 935;0.7674325776192477 1016;0.7041530977931251 1107;0.7378735929678301 1196;0.7743816753884915 1268;0.7611422177824186 1344;0.7371929445134782 1434;0.7394501461589108 1516;0.7388755966030665 1600;0.7634334627807637 1685
2 4 NULL;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0
