1 4 LEFT;0.6799968343100868 20;0.6372090071324693 39;0.837802871912692 75;0.8396652395895619 109;0.8399192495902049 136;0.8399992622469756 173;0.8399999984069408 196;0.8399998917615009 229;0.8399325365824466 254;0.8111752761582949 282;0.8399886323567537 306;0.8399999711306001 335;0.8399999399885129 357;0.8357121718011129 389;0.8399998703830784 425;0.8308304233971053 452;0.8399998922555127 476;0.8399999999999999 507;0.8399693704942293 531;0.8399999995443652 549;0.6798556352171269 587;0.6780661482546366 605;0.6796627362680879 621
1 2 RIGHT;-0.25544263227149017 40;-0.25544263227149017 40;0.8339239759916961 59;0.8399937681868583 89;0.7738268118945261 118;0.839620919999637 142;0.8363856972914221 164;0.8370839840308907 189;0.8399842528280612 219;0.4113473402470339 238;0.7875119998907496 266;0.8398836283344981 289;0.8399995261843228 318;0.8393388991887946 345;0.8399993511575901 370;0.8386980750899122 395;0.8399317549980462 420;0.8399999999999432 450;0.8399998252961146 471;0.8399999988851133 507;-0.9506468642255635 520;-0.9506468642255635 520;-0.9506468642255635 520
1 3 RIGHT;-0.32827064135326395 11;-0.32827064135326395 11;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9364000000067757 41;-0.9968859654355613 68;-0.9968859654355613 68;-0.9968859654355613 68
3 2 RIGHT;0.9199999999999999 94;0.9189631308044347 241;0.9199640355752033 309;0.9196399999603355 408;0.9199999996399999 506;0.9199999999999999 603;0.9163999999963999 716;0.919999964 819;0.9199863919999992 917;0.9199999999999999 1018;0.9199974079999993 1103;0.9199999999870399 1198;0.9199999999999993 1302;0.919352 1408;0.91999986392 1511;0.9199999996426244 1614;0.9199999999999999 1715;0.9199999999999999 1818;0.9199999999999999 1926;0.9199999999999999 2025;0.9199999999999999 2152;0.9199899559999999 2296;0.9199999999999999 2447
1 2 LEFT;0.7596304889119336 46;0.7588688835695881 112;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;-0.9400362536745969 161;0.7599997163032344 204;0.7599983014026231 276;0.7599999999120473 345
1 4 UP;-0.36399999999999993 9;-0.36399999999999993 9;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-1.0143591536041687 69;-1.0143591536041687 69;-1.0143591536041687 69
3 3 RIGHT;0.96 152;0.9597119807790097 313;0.9599999996399999 345;0.96 581;0.96 813;0.96 1035;0.96 1265;0.96 1492;0.95999928 1721;0.96 1955;0.959999928 2188;0.96 2422;0.9563999999999999 2653;0.9599639999999999 2877;0.959999999964 3101;0.96 3332;0.96 3565;0.96 3788;0.96 4015;0.96 4248;0.96 4406;0.959999964 4574;0.96 4742
1 3 LEFT;0.709389092826707 40;0.7056392704004204 94;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;-0.9345560627675322 142;0.7163953439586003 182;0.7199903600954027 241;0.7199999656834952 292
1 3 UP;-0.32799999999999996 8;-0.32799999999999996 8;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
1 1 RIGHT;-0.24730561145422908 32;-0.24730561145422908 32;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49;-0.9070561753893898 49
1 2 UP;-0.256 6;-0.256 6;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
