1 4 LEFT;0.6799968343100868 20;0.6372090071324693 39;0.837802871912692 75;0.8396652395895619 109;0.8399192495902049 136;0.8399992622469756 173;0.8399999984069408 196;0.8399998917615009 229;0.8399325365824466 254;0.8111752761582949 282;0.8399886323567537 306;0.8399999711306001 335;0.8399999399885129 357;0.8357121718011129 389;0.8399998703830784 425;0.8308304233971053 452;0.8399998922555127 476;0.8399999999999999 507;0.8399693704942293 531;0.8399999995443652 549;0.6798556352171269 587;0.6780661482546366 605;0.6796627362680879 621
3 2 LEFT;-0.11236000000000002 3;-0.11236000000000002 3;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24;-0.8605025618910412 24
1 1 UP;-0.22000000000000003 5;-0.22000000000000003 5;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25
1 1 LEFT;-0.22000000000000003 5;-0.22000000000000003 5;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25
3 3 LEFT;-0.07600000000000001 1;-0.07600000000000001 1;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19;-0.8584366661224518 19
3 3 UP;-0.04 0;-0.04 0;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32;-0.8409556572529311 32
1 4 RIGHT;-0.36399999999999993 9;-0.36399999999999993 9;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27
3 2 UP;-0.11200000000000002 2;-0.11200000000000002 2;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23
3 1 UP;-0.14800000000000002 3;-0.14800000000000002 3;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24;-0.8636522604606397 24
3 1 LEFT;-0.14800000000000002 3;-0.14800000000000002 3;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23
1 4 DOWN;-0.9400000000000001 1;-0.9400000000000001 1;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2
1 2 DOWN;-0.256 6;-0.256 6;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
1 3 DOWN;-0.3280000240678742 39;-0.3280000240678742 39;0.8799898397689315 60;0.8799996189111416 145;0.8726641900482314 230;0.8799999974079998 316;0.8799999999999999 387;0.8793519999999998 469;0.8799999999923902 550;0.8799677558438738 625;0.8625039999998797 712;0.8799999999993325 795;0.8799999999999998 871;0.8799206199999279 945;0.8799997083999999 1026;0.8799960351360164 1103;0.8799999999999526 1186;0.8799999999999999 1264;0.8799999999998693 1328;0.8799999999999999 1401;-1.0037693640719663 1426;-1.0037693640719663 1426;-1.0037693640719663 1426
3 2 DOWN;-0.11200000000000002 2;-0.11200000000000002 2;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23
1 1 DOWN;0.7999351874168941 57;0.7967528849599984 149;0.7999677353309704 203;0.7999179169573291 223;0.7998105086980137 249;0.7999999998634135 281;0.7999933914313067 314;0.7999999999886327 340;0.7996695190039319 365;0.7999999666101456 391;0.7998991512557945 414;0.7997115870504816 443;0.7999964604125385 473;0.799999999999945 501;0.7967598054196354 524;0.7999027635646339 555;0.799999007654725 575;0.7970839999994821 605;0.7999661111199903 637;0.7999897254153884 665;0.7999999917730162 731;0.7967599981965345 817;0.7999999999999995 907
3 3 DOWN;-0.07600000000000001 1;-0.07600000000000001 1;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23
3 1 DOWN;-0.14800000000000002 3;-0.14800000000000002 3;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23
3 4 NULL;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0
3 1 RIGHT;0.8799999999999992 71;0.8660022657878689 198;0.8793875361281682 262;0.8793519926680653 336;0.8799999222399999 407;0.8799279999999904 489;0.879999993098786 569;0.8799990279999998 647;0.8798833599990947 719;0.8799999999999999 796;0.8799241839910119 862;0.8799999751545332 928;0.8799999999998228 1009;0.8799999999999999 1091;0.8799958884399999 1173;0.8799970197021999 1246;0.8799999999993962 1322;0.8799996399999999 1400;0.8799999999997576 1485;0.8799999996399999 1562;0.8799999999999799 1662;0.8791251999999924 1787;0.8799999999999999 1918
2 3 RIGHT;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-1.03 2;-1.03 2;-1.03 2
2 3 LEFT;-0.35595772179375934 9;-0.35595772179375934 9;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-0.8959577217937597 24;-1.0399577217937597 28;-1.0399577217937597 28;-1.0399577217937597 28
2 1 RIGHT;-0.18400000000000002 4;-0.18400000000000002 4;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24
2 3 UP;0.6342297715156296 13;0.6799967615132116 31;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;-0.9001299748962506 76;0.6794398902564707 90;0.6790546898633267 109;0.6782893949038113 124
2 1 LEFT;-0.18400000000000002 4;-0.18400000000000002 4;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24
2 1 UP;-0.1833116615353586 22;-0.1833116615353586 22;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40;-0.900824854292744 40
2 3 DOWN;-0.8440014904000002 39;-0.8440014904000002 39;0.9199999630135083 51;0.9199999967239967 157;0.9199999999982359 268;0.919999999964 371;0.9199999999999999 473;0.9199639999999999 572;0.9186975199999997 677;0.9199999982359999 784;0.90704 904;0.9199999999999999 1019;0.9199999999999999 1121;0.9199998236 1217;0.9199999672759999 1314;0.9199999963711963 1420;0.9199999999999999 1534;0.9199999999999999 1639;0.9199999999999999 1732;0.9199999999999999 1836;-1.0204000000000002 1865;-1.0204000000000002 1865;-1.0204000000000002 1865
2 1 DOWN;0.8399639999996823 55;0.6260739360580352 165;0.8373730197271474 228;0.8399948410291839 276;0.8399899397999888 330;0.8270399999981752 389;0.8399987417871323 444;0.8399708399999998 493;0.8399639999172827 544;0.8399999991021291 597;0.8394751023325777 640;0.8399849764644105 683;0.8399999997564406 742;0.8399999999999999 803;0.8399471519999848 864;0.8399963999990908 920;0.8399999889433805 965;0.8396435999999998 1018;0.8399999866346374 1084;0.8399999773199974 1135;0.8399999999233388 1213;0.8370155999760522 1322;0.8399999999999999 1433
2 4 NULL;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0
