1 4 LEFT;0.2192932274622667 25;0.3643823474690014 36;0.5509648880783328 51;0.4131108084569116 70;0.5221845388084169 87;0.5552052913504643 101;0.44992286317709174 124;0.4699674644819222 144;0.5558237593288419 155;0.4637960437621081 174;0.48360404840018284 191;0.5221112893200486 210;0.41819800646800087 225;0.45698038612805025 245;0.3904412781876327 266;0.47971738927146285 278;0.4953124477725961 293;0.49102677351655355 303;0.5002234251732642 324;0.46602717662853743 341;0.5158463261733034 357
1 2 RIGHT;-0.05206075825585732 15;-0.3174070615832133 19;0.5568442602527286 23;0.45494130038886416 34;0.44426608550162555 38;0.5153654923099623 41;0.17672859103589234 48;0.5129808218319322 52;0.254542745833566 56;0.45234716733684877 58;0.4904227665131327 62;0.4288533810043875 67;0.36934569714226995 72;0.2460448854484686 76;0.31979396381210407 82;0.42826418089640744 88;0.5255299996284258 92;0.5492045784400352 94;0.551852735981868 99;0.5363674724021581 109;0.49915865957859723 119
1 3 RIGHT;-0.011495652754933083 21;0.0694876416822862 24;-0.9063815722901436 28;0.4334333253795941 35;0.4334333253795941 35;-0.522419301175939 36;0.09924047861598562 40;0.3696474212639843 46;0.5495239549207974 49;0.42501501224547955 52;0.04585167761950343 54;0.16057608525345385 56;0.16471270161906593 62;0.059232147248322486 68;0.13368053627014823 75;0.2687763777693763 76;0.2194482765740105 79;0.2194482765740105 79;0.35299908252772844 81;-0.21176588715054034 85;-0.14119221294055123 87
1 2 LEFT;0.24230086068752327 29;0.49794869336689257 85;0.6515167187042319 126;0.5108235767640666 165;0.6318665297160436 215;0.6517997459616829 275;0.6186815132787086 323;0.6334379191510745 384;0.6326426574907644 437;0.5963572035571054 476;0.6028891144496379 537;0.6275188751557026 596;0.6169869201851818 640;0.6257181040141732 693;0.6434387900294742 736;0.6519448359794277 782;0.6365672861569751 842;0.6493928454523022 901;0.6442533283033441 952;0.6393825143335117 1000;0.6447866115320223 1046
3 2 RIGHT;0.9146759380399301 67;0.8791384341098397 162;0.9004387257301921 275;0.8894493001208402 381;0.891813063805079 500;0.8969646390069237 619;0.8918809348320587 722;0.9069635738840421 844;0.7662427989885908 963;0.8602972839311235 1077;0.8781162602067607 1196;0.8698761465953653 1313;0.8839186447474273 1438;0.88843020948341 1554;0.8719978866088154 1674;0.8661362165408372 1804;0.8815925722510686 1925;0.8901861772171344 2044;0.8627542340901261 2150;0.8828465972954029 2266;0.8691733215057156 2387
1 4 UP;0.2602155368059354 13;-0.7737230065742342 29;0.36639921372734585 31;0.25969189288075656 40;0.5174875399189742 46;0.4627487561729942 52;0.43433667400664255 63;0.29176050691614674 71;0.39941572106929407 72;-0.2683298938643898 79;0.03588278581052806 80;-0.44235269382255543 81;0.20590472703621351 85;0.20590472703621351 85;0.14875472611023471 88;0.2695714937206847 89;0.2695714937206847 89;0.41673449932069084 91;0.3564212194902111 95;0.2727531581909687 101;-0.2313784535572183 102
1 3 LEFT;0.16389169353601615 14;0.4730607158849242 56;0.5683098737148796 70;0.46103047414725074 96;0.5665110062533891 126;0.5841531930337208 160;0.4084848782534711 192;0.6159686932098033 222;0.5860669981012782 251;0.5527181991082327 274;0.5393399984176664 314;0.5715922864575883 357;0.5776997404971426 383;0.5737247576990593 414;0.5716290287873138 441;0.4936508843450412 477;0.6037442183680419 514;0.43502851506981616 549;0.5761402469136002 584;0.5891792466433782 617;0.5699101478530348 654
1 3 UP;0.1809543888130764 29;0.17782699781403452 42;0.4577399392314216 44;0.42482938904122186 56;0.4545680384081583 63;0.5176157993025298 66;0.23678014731181832 68;0.4172338542605101 71;0.4172338542605101 71;0.4836875959546133 74;0.45865713780385553 77;0.48674748259892126 78;0.5072415692749206 79;0.21821304625074328 84;0.40830094897811814 87;0.39983655594171413 91;0.42469037828461703 94;0.49679020207832 96;0.5220766706025664 105;0.5117851340617477 110;0.5321109750839468 114
3 3 RIGHT;0.9599999990065944 92;0.9599999999993493 180;0.9599999999628821 329;0.9599275468158881 429;0.9599999999918927 569;0.9599846531183979 708;0.9591767362111205 840;0.9598561782454947 967;0.9234033789384232 1102;0.9548686163325852 1242;0.9598508890584118 1369;0.9590595922721149 1508;0.9599939744050852 1643;0.9596416399257701 1771;0.9288208624940937 1913;0.9591799186991797 2052;0.9573961209343599 2178;0.9560181587068509 2310;0.9344195777136224 2442;0.9549828249309756 2586;0.9517000818875898 2719
1 1 RIGHT;0.008834841892721296 17;0.33424225050182965 26;0.5942896818473702 32;0.46906004890300534 42;0.5526961983103461 53;0.5889599741701886 62;0.5719693516570117 69;0.5524381148066755 84;0.5765463018559178 94;0.48746858226229006 101;0.5576137577868623 113;0.5694996552551365 117;0.4987296264683948 123;0.5688827641618153 129;0.5807628928600602 135;0.5581820642041556 140;0.5742861992919712 151;0.6089129652355448 156;0.5857759894884136 159;0.5936543464928367 168;0.595200547748788 174
1 2 UP;0.29142057275155375 17;0.41707843645709597 30;0.5596021891421578 37;0.48303509972339226 43;0.5969414902990271 47;0.5943808815883033 50;0.5670638575837027 56;0.551782917074443 59;0.5874811426387703 65;0.5710111810240467 68;0.5602159119401788 77;0.5650477684504744 85;0.5781411214189616 88;0.584468844460017 93;0.4009734701628845 99;0.5198564511335672 102;0.56589115457535 108;0.5854856804168714 116;0.5966501968455724 124;0.5788067996674752 131;0.5562259207112401 133
3 2 LEFT;0.5917227933769522 12;0.5855348184146052 35;0.8077622236132515 46;0.5597791099848142 78;0.763755769853969 90;0.7611157765478093 102;0.7591101488530948 110;0.7835189419940419 123;0.7476219516400333 133;0.7234439933717836 145;0.7631409207630898 152;0.7562275371538871 159;0.7825077771377627 172;0.7795197217464166 183;0.7341398779546624 193;0.7776905700050807 205;0.7231247901848578 216;0.7576554319027853 227;0.7587285439238054 239;0.7328155259192182 250;0.7350795678284819 263
1 1 LEFT;-0.18344636932199293 17;0.5589354275295341 34;0.6113104519925815 42;0.5118848169120037 49;0.5592099345140507 52;0.6553103884205475 59;0.5758355442912247 63;0.6282427973293039 70;0.666505957808025 76;0.6021345669118496 82;0.5918416169261246 90;0.6396380609055693 96;0.6433670082097869 102;0.6215069084038813 109;0.6420877782390262 113;0.6530531923885524 123;0.6655346511053727 132;0.6367530882296571 140;0.6506328784730385 150;0.6348316389827181 154;0.6466891572397865 157
1 1 UP;-0.07144808449574769 19;0.5262386837018362 25;0.6274528988897404 34;0.5004574023537283 39;0.5202613001152843 45;0.6379156920441145 52;0.6259640240440015 60;0.6425939887782037 71;0.6431310551419345 80;0.6062294252779612 84;0.6385086189543214 93;0.5994441772513979 101;0.652102023848557 105;0.6286285995828369 112;0.6420081432207347 115;0.646736281112599 121;0.6486676888658849 131;0.6521725184822889 136;0.6279020571641664 140;0.6534421810183064 144;0.650145586669749 150
3 3 UP;0.28672720861296486 8;0.4315816956454855 18;0.8756814829570484 24;0.5588389628540167 32;-0.3201912564849497 40;0.8089823559337432 48;0.5995186734077587 62;0.5642950303596109 68;0.16076587215313587 80;0.5417964098519458 96;0.6638453738536771 110;0.6719066967489908 124;0.575726342065558 134;0.6668053598083388 147;0.7593893382442858 158;0.6191003666759985 167;0.7028177590116885 183;0.6119157190886997 192;0.5041205952191146 207;0.49605070308064547 219;0.5700869528563611 229
3 3 LEFT;0.7983842730608927 13;0.8213287825624389 19;0.7534085054127225 26;0.7987372871975721 44;0.8443961973218423 60;0.8280200368368571 70;0.8382360438832634 82;0.8424163000351016 92;0.7995016914505051 107;0.8037867955313537 119;0.8342743761492908 133;0.8320456193756197 146;0.8348615940102312 163;0.8218491657957014 178;0.8132721276907804 195;0.8034289948913085 207;0.8083444578078078 219;0.7870244515297945 230;0.7975366417765463 245;0.7929306968858972 254;0.8073432254532056 264
3 2 UP;0.49289258350037324 8;0.796687227968248 21;0.7919729412070231 32;0.5724059581525461 41;0.8159578526920945 49;0.8296281845850714 59;0.8288346405394147 70;0.8457752750326527 84;0.7397191136858945 103;0.7721261865160443 114;0.827611023041643 126;0.8165995019506238 135;0.8174584370284355 150;0.8217261834696291 159;0.8139119112462782 169;0.8097176665094701 178;0.80840082171711 190;0.8373929272744477 201;0.8322564130545768 205;0.8212291336286771 216;0.8076820478619087 225
1 4 RIGHT;-0.0799788471708091 3;0.09815197103888043 6;0.41060032417382125 8;0.411619265488608 20;0.43954898141901955 26;0.47605711993480887 29;-0.5465631981771364 34;0.06395981970854114 35;0.33209951679214283 39;0.10149746594184986 48;0.10149746594184986 48;0.4031867438287602 50;-0.4330993889128507 54;0.16252656755118314 56;0.07171528895613016 62;0.22157338639973476 63;0.22157338639973476 63;0.22157338639973476 63;0.33350186792013414 64;0.26696612158570354 68;0.34735804093545436 69
3 1 LEFT;0.5798403535520975 37;0.5519710689862538 60;0.7910474467071914 67;0.6814735658867974 91;0.7584581982055918 95;0.7597816864432076 102;0.7226692409499259 118;0.7875062218202575 132;0.7470573815536038 143;0.7032229539122852 157;0.7133072032054354 163;0.7100306385976692 172;0.7408652234274712 179;0.7521157420403775 188;0.7374761178033704 197;0.7809265418602751 208;0.7466055189946703 218;0.736841901390631 231;0.746401554474691 243;0.740855077229493 249;0.7313283073788355 262
