1 4 LEFT;0.8399999996040042 25;0.8399993519999985 41;-0.2605556772976001 57;0.8391484006463964 81;0.8270396224849887 113;0.7874983269455036 137;0.8399999999999982 159;0.836054380823807 205;0.8399936686083362 224;0.8399655688252681 249;0.8399968495107047 269;0.83287199304908 291;0.8399999999999993 312;0.8399999989664857 330;0.8391135572723895 358;0.8395280541479999 386;0.8399997368342077 406;0.7101360168454888 433;0.839999999755923 454;-0.8521615497095667 478;0.8399999999981888 502;0.8363999970336631 530;0.8399999951795452 559
1 1 DOWN;0.7999999354863929 24;-0.2554353602769394 41;-0.436655345838605 62;0.7997103224815967 86;0.7999982532549723 108;0.7999952479903633 133;0.7999999672019635 154;0.7999849963360289 189;0.7416799999999879 248;0.7999540727233073 300;0.7970751154063176 364;0.7999964324359998 408;0.7980171197897495 463;0.7999999909173088 509;0.7995800695541019 553;0.7993123060837981 610;0.7999996399999998 676;0.7999999321893317 725;0.7999999999999998 785;0.7999999999996081 842;0.799999999963994 896;0.7963991883337797 946;0.7824999323890988 991
3 3 DOWN;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.07600000000000001 1;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22;-0.8617107999984016 22
3 4 NULL;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0
3 1 DOWN;-0.14800000000000002 3;-0.32799999999999996 8;-0.4359999999999999 11;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25
3 1 RIGHT;0.8799999999999999 74;-0.32472398176399997 82;-0.4684140615029102 101;0.8799994156719944 166;0.8799999999997377 236;0.8799999999999993 309;0.8799999999999999 393;0.879999999999536 464;0.8792799999999998 572;0.8782503831463203 677;0.8799992794909308 779;0.8799999999999999 878;0.8799999999927999 983;0.8799999999999999 1083;0.879998379999024 1171;0.8799999999999999 1272;0.8799999999999999 1375;0.8799999999062795 1470;0.8799999999999999 1569;0.8799999999999999 1665;0.8770839999999999 1760;0.8767599999999278 1854;0.8799997945110728 1950
2 3 RIGHT;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-0.9400000000000001 1;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2
2 1 RIGHT;-0.14800000000000002 3;-0.292 7;-0.4359999999999999 11;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9400000000000003 25;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
2 3 LEFT;-0.07600000000000001 1;-0.07600000000000001 1;-0.4359999999999999 11;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27;-1.0120000000000002 27
2 3 UP;-0.10840000000000002 1;-0.10840000000000002 1;-0.44193937233986963 24;-0.8950312559810694 37;-0.8950312559810694 37;-0.8950312559810694 37;-0.8950312559810694 37;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43;-1.0127389134267533 43
2 1 LEFT;-0.14800000000000002 3;-0.292 7;-0.4323999999999999 10;-0.9364000000000002 24;-0.9364000000000002 24;-0.9364000000000002 24;-0.9364000000000002 24;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25;-0.9724000000000003 25
2 1 UP;-0.14800000000000002 3;0.7599993387691507 71;-0.44189789371266275 133;-0.9358326953918128 149;-0.9358326953918128 149;-0.9358326953918128 149;-0.9358326953918128 149;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150;-0.9754623929462619 150
2 3 DOWN;0.9199999999999999 76;0.9199999999999999 215;-0.8440259205540401 320;0.9199999999999992 381;0.9199999999999958 484;0.9199999999999999 597;0.9199999999999999 691;0.9199999935131588 754;0.919999999996695 819;0.9135199351763683 888;0.9199999966627351 950;0.9199999999999999 1029;0.9199999999999999 1099;0.9199999999999999 1176;0.9199992859669025 1262;0.9199999982359999 1333;0.9199999999999999 1399;0.9070399999442155 1473;0.9199999999999999 1541;0.9199999998989989 1612;0.9199999999999999 1686;0.9199999999999999 1769;0.9199740799352 1849
2 1 DOWN;0.8399999999999278 50;-0.2884296247097521 69;-0.4360327802127784 88;0.8399796692058858 123;0.8399999998903397 165;0.8399999999402045 216;0.8399999999999999 270;0.8399999995527934 325;0.8328719999999997 406;0.8347506138669412 486;0.8397406343280943 564;0.8399999999639999 636;0.839999546399997 720;0.8399999999992696 790;0.8399708399216101 855;0.8399639603639998 936;0.8399999999999999 1029;0.8399999960823624 1100;0.8399999999999999 1184;0.8399999999999999 1259;0.8399999999999999 1335;0.8399999997194056 1412;0.8398638376698594 1481
2 4 NULL;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0
