1 4 LEFT;-0.2047915614654725 28;0.5513249208267954 43;0.4195010544128617 51;0.6620142587614155 63;0.5077995955437267 79;0.7690695823719745 98;0.5350828215676913 115;0.47650981450973734 133;0.4930811953219948 147;0.5131591403314214 157;0.4720939255681727 174;0.6690892328251844 190;0.5338570390886426 213;0.4610255468605815 233;0.42850515341203577 255;0.47040249140451557 272;0.5443038074832702 289;0.4850100555872835 299;0.4894198612430966 322;0.5700123446368336 342;0.4984882924239798 361
1 2 UP;-0.25543027921679223 53;0.15859486313148768 61;0.4942740623108326 64;0.527537339563998 69;0.5198899904531863 74;0.6203645252368875 80;0.597607564269999 83;0.5817693818440685 88;0.5645243128824282 94;0.5571866627610718 100;0.5129247391326418 105;0.5129247391326418 105;0.5547758707772837 112;0.5776599317869158 116;0.5882965801958913 117;0.606477561338129 123;0.5980336500906569 126;0.6056067116348578 128;0.6018073570529102 130;0.5976902279198555 137;0.6070342356993214 141
1 1 UP;0.1383984428941619 27;0.28341640076131763 37;0.5846668769456574 43;0.5768662177032499 49;0.5882545139636025 57;0.6508431118106646 61;0.6438136663035752 67;0.6349876267495854 76;0.6636554797185635 79;0.6272129919294872 84;0.5750586223691925 90;0.6489271326506024 94;0.6258615260981731 102;0.6034599068934281 105;0.6384560677975415 109;0.6591729755920823 116;0.6465187549882163 120;0.6570649926573667 125;0.6546644109889727 132;0.625525826164639 135;0.6516908854323479 142
1 1 LEFT;0.15205850806897778 29;0.4716643169752678 40;0.5748044265349608 45;0.5693526343847242 55;0.6119695847563482 64;0.6540718636634014 70;0.6410043016792718 81;0.6370959518004643 86;0.6789469245001027 90;0.6068155815171254 98;0.5863040165241857 100;0.646214608780692 109;0.6383282009471908 118;0.6465276262620046 126;0.6348565500599995 130;0.6299246053331842 142;0.6268637264532282 147;0.6497764895596656 153;0.6539347204554441 156;0.6506857823486742 164;0.6537305555448752 165
3 3 UP;0.20984157151110716 18;0.7021668725515898 27;0.324580752697336 39;0.7941320677376235 51;-0.12004495402604531 65;0.7440983420945241 75;0.8263529755488208 86;0.12384565999567243 100;-0.27905948014486254 112;0.7662369688807429 131;0.4409037779689644 142;0.7530804590787286 153;0.8361966106025376 160;0.8452441180217641 173;0.4841252551852681 188;0.7102204531977444 195;0.6507996903315383 211;0.5780367107482332 226;0.7812344583686173 240;0.7085834707696841 257;0.7436807194693719 269
3 3 LEFT;0.5987401980744028 8;0.6474381230572773 22;0.7110748225507676 33;0.8156323705623545 49;0.7995469024871955 64;0.7976764899542199 80;0.8359485152668839 95;0.8423330230368944 109;0.8189385630605541 127;0.8327137458193916 139;0.8226215302186731 154;0.8113442389137956 164;0.8279883526581482 179;0.8287712180323272 188;0.7877900164842736 202;0.8234284745276452 209;0.8227671839987198 221;0.8017869506865408 230;0.805271742567331 249;0.8055410626960539 262;0.8403962406229016 280
3 2 UP;0.29868268702649875 32;0.7230733315344899 62;0.63471854452706 86;0.8023787339873454 105;0.8289197296332386 118;0.8094277614987007 131;0.8491959608751681 139;0.8123008944122948 150;0.8123248846456462 161;0.8087098032491007 180;0.8177047455031503 187;0.8135691102157903 201;0.8311476846861284 220;0.8498449220944922 236;0.8292273098205684 246;0.843797869093944 257;0.8149270408200403 274;0.7922210418556285 280;0.7801528292119345 292;0.8155504212196927 302;0.8067704576355076 322
1 4 RIGHT;-0.931475166927757 13;0.051968093901722974 25;0.054621678731785625 28;-1.066642244975513 32;-0.0038796502218214624 34;0.6591096703366942 38;0.4844288261724233 42;0.3759635019228863 47;0.4351127225141908 49;0.3995320565022521 56;0.3995320565022521 56;0.04532291167388475 58;0.4442529473879041 60;-0.07217328975674281 74;0.3226733632708987 82;0.19079282708700165 87;0.4009632516122796 89;0.43367080186804335 90;0.4104045583361622 93;0.43237364541715273 94;0.3499048694749873 99
3 1 UP;0.23751999915233063 20;0.5637865721410489 41;0.6297342786787419 54;0.5943590657918457 65;0.7174748248831263 77;0.705295448826843 84;0.7212038157744494 95;0.7342646208219055 110;0.7215100076256294 120;0.6500259093043779 132;0.7063345841560728 141;0.7037532824391659 154;0.6842758262255746 165;0.7125212636053498 174;0.706334090430636 186;0.6897154006162878 194;0.701224184497688 206;0.6782171091541437 218;0.6983112062136697 228;0.6886986856998545 235;0.7060476361855922 242
3 1 LEFT;0.3271664552031679 20;0.5906306935980573 36;0.6358107015404031 58;0.7099014930851877 82;0.7685220901220654 84;0.7597905789037944 93;0.7636039632252458 102;0.7839471135790913 115;0.7764688744967684 122;0.7483936709360587 131;0.767329210965833 142;0.7522358103825478 153;0.7565660362715998 163;0.7642928681158886 179;0.7743304500607459 187;0.766540395968591 202;0.7859388738786829 214;0.7396942490682112 225;0.7379664339703539 236;0.7660009702177301 244;0.7581551315968079 254
1 4 DOWN;-1.04 4;-1.04 5;-1.04 6;-1.04 11;-1.04 11;-1.04 12;-1.04 19;-1.04 19;-1.04 20;-1.04 21;-1.04 23;-1.04 25;-1.04 30;-1.04 33;-1.04 34;-1.04 34;-1.04 34;-1.04 37;-1.04 40;-1.04 41;-1.04 43
1 2 DOWN;-0.3057789096815299 29;0.4536831352467758 37;0.5391595467739432 44;0.5178516112198842 49;0.5755500633277347 55;0.5727494925075268 58;0.5892576596593604 66;0.5927613283992067 75;0.44521083293619235 84;0.4995748903411094 89;0.558161928539501 98;0.5400442270400257 100;0.5680221817248519 104;0.587511311257136 107;0.5876013868491775 112;0.5690316570815743 119;0.5903253315568024 125;0.5339172316930166 133;0.5799125942079838 137;0.5892789639765038 140;0.5738826544701667 144
1 3 DOWN;0.739567028213306 30;0.8223675792152189 54;0.40027711540273636 61;0.7643915120001847 68;0.47031436326976506 73;0.8287513467293326 90;0.36590132436580863 103;0.4009601017592455 108;0.193123569042214 113;0.5501881992591104 115;0.21988055505986948 126;0.8346806745255277 147;0.5706580324886878 157;0.6106152463015072 167;0.3263538515247163 177;0.5408057897403681 179;0.3380185452726145 194;0.5343811590147435 205;0.44718896163493016 209;0.5860084477360387 221;0.3268248505204566 242
3 2 DOWN;0.21993086461690026 28;0.6017375954777476 44;0.5926102902186136 58;0.8157799968957322 77;0.8301107658311558 87;0.812100418020497 100;0.8355261227316515 112;0.8398167187798421 122;0.8109694595345186 139;0.8011097198978272 151;0.826600992057258 168;0.8065958225917581 180;0.8430137429746623 195;0.8455626092213785 206;0.8217792660000934 225;0.8036268452877604 230;0.8340805980149444 241;0.8212881089295473 257;0.7925940440756406 274;0.8086722848039671 281;0.8343991728976846 292
1 1 DOWN;0.1573375789842642 27;0.5791443102040401 77;0.5937395355505295 146;0.6341595562395261 207;0.7179815123187558 272;0.69265471716923 329;0.708463177265433 389;0.7063524023571695 456;0.7281772322457105 504;0.6708371968020086 573;0.6923811497135881 628;0.6924215571645701 683;0.6939914634636922 752;0.6966376738072776 819;0.7047337267125287 879;0.7178997226345103 954;0.7070048725348383 1003;0.699147094773261 1068;0.6982545855198533 1130;0.7003034085470521 1199;0.7150314499567453 1246
3 3 DOWN;0.8524333645901638 17;0.6878511948682999 27;0.9198102750283063 38;0.9195268930775052 53;0.8708381143389131 70;0.8418810739800989 85;0.9118838413765892 100;0.8769655909136947 113;0.90650673359962 128;0.9192805055355848 137;0.9204342569697527 158;0.8077649998896269 175;0.8757506068417584 186;0.8978997826952869 198;0.913234622261485 209;0.8947293227292373 215;0.8812483516749063 234;0.8209677298769659 246;0.8944375113413022 261;0.8556549284910923 270;0.8866398781299742 277
3 1 DOWN;0.19840956594287618 20;0.5787571813031753 43;0.6214414835502372 57;0.6930168806022853 73;0.787851301021704 81;0.7374456742456946 88;0.7376175545109926 102;0.7805353523020551 115;0.7300537905103119 124;0.7678704680233983 131;0.7443425401201229 142;0.7484308528581793 153;0.74584474984029 166;0.7681790681449798 183;0.7664115887803571 194;0.782622621364013 200;0.7740304263761099 209;0.7625938865581698 215;0.7313379185032319 223;0.7662858752248437 237;0.7608354814001217 242
3 4 NULL;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0
3 1 RIGHT;-0.0012071821118612713 45;0.6581242998330479 144;0.7517462068794373 250;0.8010869575874464 357;0.83015351577803 449;0.8057664890654018 540;0.8160746694948179 639;0.831240769152626 739;0.8156095155854605 835;0.8156787290005835 946;0.8153007879009913 1043;0.7916553939987934 1137;0.8364966424288102 1233;0.8349708407505203 1326;0.8241614816106114 1424;0.82290839286504 1532;0.8230380411589258 1622;0.808018757311628 1724;0.8133349171168797 1819;0.8125186566525496 1914;0.8138570204735733 2020
2 3 RIGHT;-1.04 6;-1.04 8;-1.04 11;-1.04 14;-1.04 18;-1.04 22;-1.04 24;-1.04 28;-1.04 33;-1.04 33;-1.04 39;-1.04 42;-1.04 43;-1.04 46;-1.04 51;-1.04 54;-1.04 56;-1.04 63;-1.04 64;-1.04 70;-1.04 72
2 1 RIGHT;-0.04950243864072115 29;0.5638565109406202 41;0.620084662436606 52;0.6499166804306195 64;0.721052400005055 70;0.6850072608872027 80;0.72222910239075 92;0.7031054894609692 99;0.6908634537335256 103;0.6824049294818519 109;0.6563276845150309 118;0.7019418955800141 126;0.6931245585028125 132;0.6920842451536097 144;0.6865521401425108 151;0.7138219554806824 158;0.7140902563786543 164;0.6989028495855256 170;0.681128554859364 174;0.6788298826811289 182;0.7057601650878847 186
2 3 LEFT;0.17680254382932942 6;0.7581350666062721 15;0.8288181791862225 22;0.6531684702610808 35;0.7880283013998041 36;0.33419764146758457 38;0.667940982356928 41;0.34785330588747476 43;0.3717632830806433 48;0.7442544522082631 50;0.3209321319719426 56;0.8002794757674068 61;0.8002794757674068 61;0.8398062869363785 65;0.6874275711451943 72;0.6869202602024094 76;0.7628381594595479 82;0.7884624910159918 86;0.7984851169560635 90;-0.14994502057514703 97;0.4393572026491716 100
2 1 LEFT;-0.26131436141330777 7;0.5209366413668348 19;0.5726254073116394 24;0.6033810124356155 33;0.7039196191705852 38;0.7064650595145971 47;0.6933042052706903 57;0.7111234008309146 66;0.7447898650114094 75;0.683976225698499 87;0.6697093692126941 96;0.658151441444221 97;0.6625802995669314 103;0.7119131332269251 107;0.7176071791401256 118;0.7289462663187218 123;0.711089761914485 132;0.6950165633060431 139;0.6999387319180996 146;0.7089518944452454 153;0.6950552386863919 155
2 3 UP;0.10947263753507164 4;0.5366795526608019 7;0.4267368306390558 14;0.4267368306390558 14;0.5049600011057949 19;0.635368639843304 22;0.4984532065327428 31;0.48439791580776315 32;0.470395778377533 34;0.5014190100521548 35;0.4521378215598255 39;0.6734195067758856 42;0.5815107608983501 43;0.5633460547447947 44;0.34157356425340085 48;0.3956031207010333 50;0.5456326306518599 54;0.5441867985120398 55;0.5489797623119055 60;0.636553076451188 62;0.5889589134816734 69
2 1 UP;0.17493528650862333 17;0.5428202305607809 29;0.5767313776962985 39;0.5786084441592861 48;0.618448045800966 55;0.6655446742836648 63;0.6049990529847191 73;0.6359153814220644 82;0.6456439068629061 84;0.6246008148115156 95;0.5989974054189915 107;0.5979320040393922 112;0.6456317718266134 120;0.6471828674820184 133;0.6407564297933859 143;0.6587669496296814 156;0.672236505001411 161;0.653839601257041 169;0.6273483927087591 178;0.65518190880228 189;0.6583933382024378 191
2 3 DOWN;0.919969541189499 45;0.8950787422562223 85;0.9044632994590159 114;0.8950282078725763 147;0.8863054695315244 175;0.9090697017450844 221;0.9105484990105855 247;0.895870650601486 278;0.9050148217498797 311;0.8926267377758297 343;0.8472081287181138 383;0.9106517750517761 428;0.9081747780143138 453;0.9034843029982641 486;0.9147195416218385 526;0.7932681278280951 554;0.8725519455232451 611;0.7206145891681558 646;0.8861216057426857 682;0.7439855596015175 719;0.8233381608685444 761
2 1 DOWN;6.448418381099497E-4 41;0.6520069882677889 117;0.6299187825927404 194;0.7119193404120193 274;0.7818776635945222 353;0.7458341629435293 429;0.7539828036460147 511;0.7633669860018458 597;0.7789519354587187 671;0.7366875873947075 762;0.7623986449858442 829;0.7389521832037373 910;0.7648456301586736 991;0.760096206420506 1069;0.7601453361753809 1151;0.7699666775603375 1235;0.7581517571666916 1314;0.7350120079633851 1400;0.748718342632859 1482;0.754955590290386 1567;0.7606369234840472 1639
2 4 NULL;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0
