1 4 LEFT;-0.2047915614654725 28;0.5513249208267954 43;0.4195010544128617 51;0.6620142587614155 63;0.5077995955437267 79;0.7690695823719745 98;0.5350828215676913 115;0.47650981450973734 133;0.4930811953219948 147;0.5131591403314214 157;0.4720939255681727 174;0.6690892328251844 190;0.5338570390886426 213;0.4610255468605815 233;0.42850515341203577 255;0.47040249140451557 272;0.5443038074832702 289;0.4850100555872835 299;0.4894198612430966 322;0.5700123446368336 342;0.4984882924239798 361
1 2 RIGHT;-0.6674014241412649 38;0.37419707212547954 40;0.43728437959128735 47;0.43728437959128735 47;0.4957696277208613 57;0.5331126049942686 63;0.29427266259686263 69;0.3702819525554402 76;0.467710942349702 84;0.47541339616918765 87;0.48445196978799715 90;0.5271979749556859 93;0.5524237090213024 99;0.5126211399017179 103;0.5727881445279361 109;0.47734703706295223 112;0.524647626259872 116;0.531818459507598 125;0.5395869353684956 130;0.5466118692554661 136;0.5293980698912407 137
1 3 RIGHT;-0.5164962140231689 22;-0.620434271321196 25;0.11043489993191302 26;0.11043489993191302 26;0.2854855416696739 29;0.4645449106782934 32;0.18503045748318891 39;0.3989811459015355 42;0.02091187841317721 47;0.42139941381509216 51;0.2272153644990772 54;0.2272153644990772 54;0.4401081309966827 58;0.26126959674411404 61;0.10943819095018611 65;0.2010958617918562 72;0.4061307427608081 74;0.22369745871010957 77;0.40255166336537523 82;0.5168866731619435 86;0.500627966175525 88
3 2 RIGHT;0.7212971238931306 51;0.9072257851741669 144;0.8805050133850646 250;0.8886812480402507 356;0.8789279608585293 475;0.883974134362786 591;0.9022436424840886 707;0.8894072675041523 817;0.870091086395651 947;0.8820323501762564 1064;0.849428340274892 1175;0.8564632599288866 1290;0.8853886202105008 1408;0.891411960680012 1515;0.8801982013878811 1630;0.8822114895488475 1742;0.8586278681703391 1849;0.8714404817201462 1963;0.8722978626875464 2080;0.8659651672583181 2200;0.8898534047784289 2323
1 2 LEFT;-0.21441972601918513 16;0.538695763718498 49;0.557711272574951 102;0.5870152435274124 144;0.655419747929695 197;0.6722360838144303 235;0.6497049247046051 280;0.6430028289038976 331;0.6785651558953416 371;0.6151300510243314 421;0.6034232822878107 459;0.6270713593583827 501;0.6239221048741702 546;0.6491078174108746 593;0.6524744661840858 637;0.6459273389524853 687;0.6488784893319123 729;0.6473563453895985 775;0.6401931462523563 825;0.6317961947118553 875;0.6439876883297984 906
1 4 UP;-0.6441199458288226 11;0.29073410979203573 13;-0.8119105336777188 17;0.5134831951013858 20;0.4514614057329492 36;0.5064090172826431 38;0.12587562618526638 42;0.3289709001109126 44;0.45243368514967186 46;0.3094959160912484 53;0.3094959160912484 53;0.3094959160912484 53;0.4102778310223502 54;-0.31829584135600897 66;0.2562684994621477 70;0.2630752883432505 73;0.4546509161617959 76;0.43254224784520734 77;0.4060183148999392 80;0.43989643684615143 83;0.05850752369912443 88
3 3 RIGHT;0.96 78;0.959998517527677 200;0.9599677649546663 320;0.959999999999704 446;0.9599944716351325 581;0.9569973058620785 728;0.9543854452357087 855;0.959944344858859 984;0.9563353949363103 1133;0.9523742872371809 1262;0.9592741017055976 1407;0.9598834480646107 1561;0.9576922912382783 1694;0.9576860378168621 1823;0.9599638999076076 1956;0.9596883830791703 2094;0.9596295906817347 2249;0.9586285817974958 2389;0.9552567380006934 2526;0.9434516539376582 2658;0.9584873822379573 2814
1 3 LEFT;0.20981303418993194 29;0.4058496993661511 35;0.5020348796127763 64;0.564245453657198 86;0.5845726541995085 125;0.5976746673378582 152;0.5831179892173401 182;0.5768587330362488 214;0.5339592897237347 242;0.5682943754045325 268;0.5088981138547655 295;0.5895194380529958 316;0.59088242887547 351;0.5966264372767943 384;0.6164413728532757 417;0.5798213050832932 451;0.5821549855800918 471;0.5688413325552668 498;0.5919690296976087 535;0.5868866582107923 569;0.580688721401507 580
1 3 UP;0.05667847131944925 26;0.7000090875557339 35;0.010513966543426428 53;0.010513966543426428 53;0.4796206780244736 56;0.6705612434590679 60;0.539754657192699 69;0.48473652452665295 73;0.4298277626843971 78;0.4298277626843971 78;0.4719837476317683 81;0.7250918746851335 86;0.5564164839365076 92;0.42290319843007185 96;0.42290319843007185 96;0.54490942827567 104;0.5464580769018371 105;0.5456236028982359 110;0.5456374796356743 115;0.5130162094984156 118;0.5817486606009937 124
1 1 RIGHT;-0.3159236939938725 11;0.448638900260572 19;0.5254437756363128 24;0.5341261319115971 28;0.579259538136081 38;0.5903183194993491 40;0.5805321393456158 46;0.5755241937285923 51;0.6104322916816382 56;0.5118613306934673 64;0.5368398970055214 70;0.5962052139462085 75;0.5683879139504677 81;0.5977152098581391 87;0.603732381311248 89;0.5968426205637563 93;0.604042132794946 99;0.5756578461987363 104;0.5968463950217702 109;0.5775681547718897 117;0.6214903326628415 121
3 2 LEFT;0.38105591551483453 14;0.6000626922656564 41;0.6586510141379037 69;0.7246002759208026 91;0.7816101969555943 98;0.7091812301852797 110;0.7621069384415001 124;0.7652528084054943 138;0.7856521225357602 149;0.7226156592069186 172;0.7605811777189884 185;0.7476076360175545 193;0.7639905475283811 205;0.744990013800386 215;0.7617871779528499 228;0.7697262979176293 246;0.7716002199976058 254;0.7587967911088861 266;0.7071677951934197 277;0.7410137315658196 282;0.7506819967574199 301
