1 4 DOWN;-0.9400000000000001 1;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2
1 2 DOWN;-0.14800000000000002 3;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
1 3 DOWN;0.8796378328 69;-0.9400410843169529 101;0.8799999825295732 157;0.8799999999999998 206;0.8799999927965678 262;0.8799888867999958 318;0.8796426927999998 367;0.8729432740326536 420;0.8799999999836078 462;0.8799999999611101 505;0.8799999999999999 545;-0.7076129600000001 586;0.8799999682365109 634;0.8799999410849536 678;0.86833594168 717;0.8799999900452466 755;0.8788215853717697 800;0.8799999992824047 840;0.879999998649019 894;0.8799999999999977 940;0.7338530250007023 977;0.8799999999999999 1029;0.8799999806789996 1071
3 2 DOWN;-0.07600000000000001 1;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24;-0.9040000000000002 24
1 1 DOWN;0.7999999694700126 29;-0.9728416519754127 63;0.7999999999763099 103;0.7999999694888027 155;0.7967599999999997 203;0.7999992799999927 249;0.7999999682456881 292;0.7999963702648374 337;0.7999999999995638 394;0.7999996836851635 447;0.7934681599643315 499;0.799999973499329 559;0.7999636750533126 602;0.7999999999985465 659;0.799970361020895 714;0.7993519999625909 769;0.7987079365096592 822;0.7993876399997749 875;0.7999921157365254 919;0.7924183999997015 969;0.799957483636493 1026;0.7999279648106847 1080;0.7999999996402426 1125
3 3 DOWN;-0.07600000000000001 1;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23;-0.8680000000000002 23
3 1 DOWN;-0.11200000000000002 2;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24;-0.9086561147379603 24
3 4 NULL;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0;1.0 0
3 1 RIGHT;0.8794167999999998 78;0.7861996935056493 127;0.8786319999999999 226;0.8799999999999999 324;0.8799999999999999 420;0.8796399999999999 519;0.8799999999999973 612;0.8799358479895505 708;0.8799999999999999 813;0.8799999999999996 907;0.8799999927999999 1011;0.8799999999999608 1118;0.8799999999999999 1209;0.8799635499999999 1311;0.8782503989826398 1419;0.8799999999999999 1526;0.8799988775207916 1628;0.8799996399999999 1726;0.8799999986925521 1819;0.8799992799999999 1925;0.8799999999675998 2031;0.8799999999999999 2123;0.8799999999999999 2229
2 3 RIGHT;-0.9400000000000001 1;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2;-1.03 2
2 1 RIGHT;-0.14800000000000002 3;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
2 3 LEFT;-0.07600000000000001 1;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26;-0.9760000000000003 26
2 3 UP;-0.11164000000000002 1;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48;-0.9493874808228605 48
2 1 LEFT;-0.14800000000000002 3;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26;-0.9733069411075819 26
2 1 UP;-0.15124 3;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23;-0.976033567082253 23
2 3 DOWN;0.9199986197599999 91;0.7177109004248868 108;0.9199999999999982 193;0.9199999999999999 262;0.9199999999999999 339;0.9199999823599999 414;0.9199996655956759 487;0.9198638551765295 571;0.9199999999999999 638;0.9199999999999999 722;0.9199999999999999 786;0.7435996400000001 848;0.9199999999999999 929;0.9199967599351999 1004;0.9193519928719999 1069;0.9199999999902474 1132;0.919999999313045 1206;0.9199999999999997 1276;0.9199999999996432 1357;0.9199999999999999 1427;0.919998703986975 1486;0.9199999999999999 1563;0.9199999999999992 1622
2 1 DOWN;0.8399999999996175 62;-0.9432519971980144 108;0.7751999999999994 171;0.839999999999328 249;0.8396399999999998 321;0.8399999999999999 392;0.839999999709985 453;0.8399999899089383 530;0.8399999999999999 614;0.8399999999311822 691;0.8399920943999994 773;0.8399999999182908 858;0.839999960399999 934;0.8373755999999882 1008;0.8347509977462297 1094;0.8399963999999993 1177;0.8398774801448048 1259;0.8399611199999995 1337;0.83999992726754 1417;0.8397407999999998 1497;0.8399999069542765 1580;0.8399999999999921 1655;0.8399999999999995 1726
2 4 NULL;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0;-1.0 0
